land_area_acres,affected_families,disputes,documents_pending,compensation_delay_months,court_cases,will_be_delayed,delay_days
23,27,0,2,11,2,1,108
53,43,3,4,2,5,1,107
49,3,7,3,3,3,1,107
40,15,3,0,10,1,1,89
43,18,1,4,5,5,1,110
52,44,8,5,0,0,1,98
23,38,4,0,1,4,1,93
45,47,5,6,9,4,1,148
50,37,3,4,0,5,1,106
1,34,8,3,5,3,1,124
86,22,9,5,10,0,1,150
39,33,4,6,5,3,1,132
38,36,2,3,6,5,1,119
87,48,2,4,6,4,1,108
39,19,3,6,12,4,1,153
84,21,7,7,7,5,1,157
66,31,2,1,4,4,1,102
82,40,5,1,12,1,1,132
40,15,3,2,0,0,0,0
32,31,9,1,7,3,1,147
74,13,6,7,6,1,1,110
84,45,0,1,12,3,1,106
23,45,8,7,0,4,1,138
16,30,2,7,10,4,1,146
77,21,7,8,6,4,1,157
21,48,7,7,4,1,1,138
36,50,8,7,10,1,1,157
57,5,4,3,4,2,0,0
41,35,1,2,2,1,0,0
50,45,2,3,1,3,0,0
53,22,8,7,6,0,1,119
54,25,9,0,12,4,1,161
62,1,5,4,12,3,1,136
69,48,8,3,7,1,1,128
56,32,0,6,5,5,1,122
52,47,2,7,2,4,1,120
4,26,9,0,1,5,1,126
18,30,2,0,4,3,0,0
42,14,7,5,5,3,1,124
97,27,4,1,7,0,0,0
96,35,0,5,3,5,1,93
100,42,0,0,3,1,0,0
3,40,2,3,2,3,1,98
15,37,3,7,11,2,1,149
48,11,9,1,12,1,1,132
14,38,0,4,9,5,1,124
51,46,3,1,9,5,1,141
32,7,4,1,12,4,1,140
6,23,8,6,10,2,1,144
65,42,5,0,6,3,1,102
56,24,10,7,11,1,1,167
23,47,8,4,9,4,1,179
62,30,6,4,5,1,1,99
36,29,3,7,9,4,1,151
49,22,0,7,5,1,0,0
63,14,5,4,5,2,1,111
90,18,8,0,8,1,1,102
31,47,6,7,8,1,1,149
61,42,7,7,12,0,1,141
38,15,6,3,4,5,1,133
48,31,8,8,5,3,1,164
71,22,5,7,4,2,1,111
30,8,3,5,1,5,1,107
98,45,2,3,3,5,1,114
36,47,9,8,9,2,1,164
25,19,3,5,2,2,0,0
2,46,8,2,4,0,1,96
71,19,2,7,1,0,0,0
74,19,7,7,7,2,1,131
7,17,7,1,1,3,1,100
10,37,10,0,2,1,1,120
73,20,1,3,1,4,0,0
98,27,9,3,12,4,1,173
58,29,4,6,4,4,1,131
8,40,1,3,10,1,1,95
85,6,2,3,2,4,0,0
10,11,0,6,7,5,1,120
61,19,0,3,4,5,1,89
90,30,1,3,4,5,1,109
85,13,6,1,8,1,1,110
20,18,2,1,0,1,0,0
40,39,9,4,7,0,1,132
89,20,6,4,8,4,1,144
57,6,9,0,6,5,1,135
78,17,0,1,3,5,0,0
74,38,0,4,9,0,0,0
98,49,2,7,8,5,1,150
36,12,9,6,10,3,1,153
61,23,6,5,5,5,1,133
21,22,6,7,4,5,1,145
98,36,0,7,1,2,0,0
33,21,1,6,8,0,1,96
70,30,6,0,3,4,1,108
80,49,7,7,12,0,1,148
35,36,2,4,7,5,1,130
16,2,10,3,11,1,1,138
71,1,8,6,1,1,1,92
60,8,10,2,7,5,1,153
66,46,4,6,7,3,1,130
59,36,2,6,3,4,1,115
96,9,1,4,12,3,1,112
65,18,0,4,11,2,1,106
75,43,7,2,7,4,1,147
45,22,8,8,6,3,1,151
25,45,3,6,3,3,1,102
41,48,7,6,6,5,1,179
84,10,7,0,2,4,1,109
43,7,7,1,8,3,1,109
93,10,6,2,1,3,1,106
34,22,9,6,10,0,1,141
87,35,6,5,10,5,1,179
63,35,0,1,3,5,0,0
88,19,3,1,6,0,0,0
98,41,1,7,2,5,1,112
4,3,5,0,4,2,0,0
48,28,2,3,8,3,1,114
88,12,2,2,1,4,0,0
49,40,10,3,7,4,1,157
30,30,10,4,7,2,1,158
2,30,4,8,2,0,1,95
45,38,4,6,11,2,1,142
39,13,6,7,1,1,1,98
74,23,9,4,11,2,1,144
85,26,4,0,9,5,1,139
96,4,9,7,4,1,1,131
46,15,10,3,9,2,1,156
97,47,10,2,10,0,1,151
83,3,4,7,0,4,1,101
94,9,1,4,5,5,1,103
23,13,2,8,5,4,1,122
35,11,4,7,12,2,1,148
44,8,7,1,2,1,0,0
87,47,10,6,12,4,1,198
12,26,0,4,8,0,0,0
59,24,10,4,9,3,1,170
48,7,10,3,7,0,1,126
72,21,9,3,10,0,1,139
60,45,4,6,1,1,1,84
5,20,7,1,1,1,0,0
69,9,6,7,5,5,1,155
90,35,6,2,6,5,1,130
63,40,6,4,0,5,1,124
28,29,7,3,5,0,1,111
48,35,10,5,0,3,1,131
25,8,7,1,10,1,1,122
82,39,0,0,12,2,1,91
17,37,3,1,12,4,1,127
76,14,3,5,12,1,1,129
77,1,4,2,2,4,1,85
23,8,10,0,2,0,1,87
31,38,5,0,2,2,0,0
7,9,6,8,1,5,1,122
61,29,5,8,9,0,1,128
65,15,9,0,11,5,1,165
39,30,10,0,0,3,1,113
55,44,1,7,11,3,1,126
11,21,9,2,1,1,1,95
80,41,9,8,11,2,1,179
77,34,4,7,8,4,1,147
13,45,1,8,11,1,1,126
58,15,6,5,7,3,1,132
94,7,5,6,5,5,1,129
48,10,10,7,1,0,1,103
12,28,1,5,12,1,1,115
8,38,8,8,5,5,1,163
53,23,10,6,11,0,1,151
77,20,5,1,9,4,1,121
20,43,7,3,1,2,1,113
48,8,4,3,12,3,1,133
99,40,9,8,0,4,1,160
89,18,0,2,4,5,1,100
40,22,5,0,2,1,0,0
73,43,6,1,2,5,1,130
4,6,8,3,6,3,1,129
44,11,5,4,11,2,1,139
73,39,1,0,2,1,0,0
97,40,0,1,4,3,0,0
85,28,7,7,6,2,1,132
97,33,1,5,6,0,0,0
37,44,10,7,8,5,1,191
6,15,6,0,0,1,0,0
39,14,2,4,4,2,0,0
16,1,7,6,2,1,1,99
69,46,3,8,8,5,1,170
46,5,6,0,6,0,0,0
59,5,5,6,9,3,1,143
82,27,4,1,6,0,0,0
42,11,9,7,11,2,1,153
56,7,3,6,9,3,1,125
11,26,4,5,3,2,1,111
22,5,8,1,8,4,1,129
100,23,5,2,3,0,0,0
19,17,3,2,9,1,1,105
98,42,1,2,12,5,1,138
60,49,9,7,10,4,1,198
82,40,5,5,2,3,1,105
61,29,10,4,12,2,1,174
8,23,8,1,4,3,1,120
5,4,5,4,1,5,1,98
79,39,8,6,7,4,1,169
95,3,7,3,5,4,1,127
65,10,0,7,1,2,0,0
92,6,8,2,0,1,0,0
91,29,7,8,8,4,1,159
47,24,4,6,6,2,1,123
77,4,10,5,1,2,1,109
72,44,6,4,4,5,1,151
78,10,5,1,9,5,1,123
45,20,10,6,2,4,1,159
11,20,8,6,10,2,1,145
86,45,10,8,1,5,1,180
55,33,5,0,5,2,1,89
28,22,7,3,3,1,1,91
10,19,1,8,12,4,1,153
68,3,10,5,12,4,1,170
77,25,2,2,2,5,1,107
80,11,7,0,6,2,1,112
93,16,7,4,12,5,1,182
58,15,8,3,4,3,1,117
48,44,9,7,7,2,1,172
49,33,8,6,2,1,1,131
78,9,4,0,10,3,1,107
71,7,8,1,4,0,1,99
21,18,7,8,2,3,1,120
29,29,5,0,6,0,0,0
51,33,5,3,6,0,1,95
29,2,5,1,11,5,1,133
19,9,0,4,7,5,1,96
98,46,7,7,9,0,1,131
3,17,3,2,8,5,1,128
68,28,1,4,3,2,0,0
16,4,3,6,10,4,1,134
9,8,7,8,0,5,1,138
74,16,2,4,6,0,0,0
79,23,3,6,2,5,1,125
11,34,5,1,8,4,1,132
65,36,0,6,7,0,0,0
82,25,5,4,11,0,1,116
9,23,3,1,12,4,1,139
97,22,2,0,5,4,1,87
83,12,10,7,11,3,1,185
24,9,1,7,0,2,0,0
26,3,3,0,5,2,0,0
66,26,8,7,4,0,1,131
83,13,4,5,12,0,1,122
43,18,1,5,6,3,1,109
57,25,5,2,7,5,1,136
48,34,4,1,11,3,1,116
56,39,2,8,4,2,1,99
11,21,10,4,4,3,1,148
92,28,2,7,5,3,1,101
94,23,9,6,4,5,1,173
8,5,10,6,5,4,1,168
96,44,2,0,2,4,0,0
87,29,0,2,1,1,0,0
100,42,5,5,6,4,1,128
78,10,10,7,5,2,1,147
98,5,9,2,8,2,1,129
41,42,4,3,1,0,0,0
95,12,7,8,6,4,1,142
34,50,4,7,3,4,1,130
89,32,3,1,2,0,0,0
58,12,7,1,12,5,1,153
86,23,1,8,8,2,1,109
21,46,10,2,12,2,1,171
29,8,3,2,3,3,0,0
4,24,8,5,7,4,1,146
79,6,1,4,6,5,1,116
62,34,6,6,9,0,1,118
41,42,1,7,7,5,1,139
45,9,8,2,12,1,1,133
65,4,1,8,2,2,0,0
22,11,5,3,5,4,1,112
11,17,3,8,4,1,1,105
39,40,8,1,8,5,1,150
76,38,2,2,10,4,1,135
78,22,9,0,0,0,0,0
6,42,9,4,10,1,1,163
74,27,9,0,7,5,1,154
38,42,4,7,3,5,1,137
39,30,1,0,2,3,0,0
54,31,7,3,5,4,1,127
41,46,5,5,6,1,1,129
48,33,8,1,5,1,1,112
16,18,7,3,2,0,0,0
7,19,6,6,3,1,1,102
74,47,5,3,12,1,1,136
66,30,7,4,7,0,1,105
51,33,7,3,3,4,1,127
7,4,4,7,9,5,1,155
61,19,8,0,1,3,1,92
34,47,5,6,5,0,1,109
7,37,8,3,5,4,1,140
10,25,8,7,12,4,1,179
80,44,9,1,2,0,1,100
48,22,8,5,12,1,1,143
78,33,6,8,0,0,1,87
18,46,5,7,8,3,1,141
78,33,2,5,9,2,1,107
51,40,4,5,8,4,1,146
63,46,9,4,7,0,1,132
43,44,1,6,9,2,1,129
93,45,10,0,9,3,1,151
84,50,9,3,11,0,1,153
62,11,8,6,2,5,1,136
5,37,1,3,0,3,0,0
41,27,2,6,11,1,1,116
65,50,9,7,11,5,1,192
91,9,8,3,8,2,1,137
62,34,6,5,2,3,1,123
44,35,5,4,9,3,1,131
32,18,8,4,3,2,1,128
37,46,3,7,5,3,1,124
72,47,4,4,1,4,1,120
70,25,6,5,12,1,1,136
6,19,1,5,7,5,1,114
96,31,3,3,8,2,1,112
90,18,2,1,9,5,1,122
31,16,0,8,3,5,1,102
7,7,6,5,11,3,1,134
88,50,2,0,8,1,1,90
84,31,7,3,12,2,1,145
37,42,0,1,10,4,1,104
69,48,0,2,6,1,0,0
5,26,7,2,11,2,1,126
2,20,9,1,5,2,1,121
83,35,8,7,2,4,1,149
35,13,1,5,2,5,1,98
83,17,2,0,11,2,1,108
38,37,10,3,2,4,1,151
52,28,8,5,1,3,1,133
13,12,2,7,5,1,1,77
34,25,3,7,12,2,1,135
39,38,9,0,4,5,1,141
89,16,0,1,7,2,0,0
21,26,10,8,11,2,1,189
16,41,4,5,9,1,1,116
18,31,2,7,11,4,1,144
54,45,8,7,12,4,1,204
86,14,3,1,8,3,1,104
91,24,1,1,0,4,0,0
65,13,9,8,2,1,1,122
67,29,1,3,11,4,1,125
12,33,7,0,7,1,1,112
54,30,9,0,8,3,1,148
40,47,0,6,4,0,0,0
96,14,9,1,0,3,1,103
90,5,8,0,1,3,1,84
37,27,2,2,12,5,1,146
83,27,5,6,7,3,1,133
11,44,10,8,2,5,1,173
16,12,8,6,8,1,1,144
29,1,0,4,7,5,1,112
70,28,8,6,3,1,1,122
45,10,4,3,11,0,1,90
85,27,9,0,3,1,1,91
13,39,0,7,9,5,1,146
7,16,0,6,7,1,0,0
70,14,0,2,8,2,0,0
30,47,9,5,9,4,1,189
87,21,3,4,2,5,1,111
29,27,4,4,0,4,1,105
95,12,10,6,8,3,1,150
45,42,10,6,12,4,1,195
90,27,6,2,4,3,1,104
97,35,7,3,3,2,1,123
19,30,0,8,6,3,1,114
68,9,6,3,4,1,1,90
83,6,7,5,1,4,1,128
25,4,4,6,10,4,1,145
6,5,3,8,3,3,1,99
43,20,0,3,3,5,1,80
96,49,7,3,11,4,1,176
27,26,3,8,5,2,1,113
60,35,10,5,4,2,1,142
66,32,7,1,12,5,1,166
98,21,3,5,5,3,1,96
73,15,2,0,4,4,0,0
75,38,6,4,2,1,1,98
30,25,9,3,7,4,1,161
88,22,4,7,11,5,1,172
63,30,2,5,2,1,0,0
93,35,7,2,8,5,1,142
68,3,1,0,12,0,0,0
53,9,10,3,1,5,1,128
2,14,8,7,5,0,1,125
82,43,9,7,10,3,1,168
1,35,8,6,0,0,1,107
93,18,8,4,0,4,1,130
87,28,2,1,1,4,0,0
20,16,3,8,4,2,1,101
51,6,5,6,7,4,1,128
90,15,4,1,10,5,1,143
5,6,6,6,6,4,1,138
8,41,0,2,1,3,0,0
56,42,5,1,8,0,1,94
28,45,9,7,4,0,1,123
88,18,8,0,2,2,1,84
27,38,2,6,1,2,1,81
73,16,9,6,10,4,1,171
50,49,2,1,8,5,1,123
7,7,6,3,1,2,1,94
99,40,9,6,12,2,1,163
82,18,7,7,3,2,1,127
49,28,2,6,1,4,1,97
32,46,1,1,4,1,0,0
49,46,10,2,11,3,1,169
47,7,1,0,4,3,0,0
47,49,4,1,2,0,0,0
24,28,7,8,8,4,1,167
14,2,1,5,8,0,0,0
77,39,5,6,0,2,1,103
50,50,1,8,3,4,1,123
22,44,6,2,2,2,1,99
35,32,2,1,2,3,0,0
36,27,4,7,12,0,1,126
33,16,10,7,9,4,1,173
59,7,2,4,0,3,0,0
43,40,6,5,7,2,1,134
84,39,2,4,5,4,1,122
26,31,5,2,6,2,1,104
95,45,10,7,9,1,1,165
49,18,6,5,1,4,1,110
76,35,2,8,0,5,1,117
91,14,7,4,11,0,1,137
53,44,7,2,10,2,1,135
33,43,2,6,12,3,1,132
58,39,7,6,8,4,1,172
54,35,0,5,11,4,1,134
82,6,1,3,10,5,1,116
22,42,9,0,9,5,1,172
